timestamp,target_x,target_y,target_z,actual_j1,target_j1,control_u_j1,actual_j2,target_j2,control_u_j2,actual_j3,target_j3,control_u_j3,actual_j4,target_j4,control_u_j4,actual_j5,target_j5,control_u_j5,actual_j6,target_j6,control_u_j6
160.471,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490704043211714e-05,0.0,0.0,-4.649070404060965e-05,0.0,0.0,-4.649070402969394e-05,0.0,0.0,4.649070398595897e-05,0.0,0.0,-4.649070404044106e-05,0.0,0.0,4.649070404338119e-05,0.0,0.0
160.48,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490704043211714e-05,0.0,0.0,-4.649070404060965e-05,0.0,0.0,-4.649070402969394e-05,0.0,0.0,4.649070398595897e-05,0.0,0.0,-4.649070404044106e-05,0.0,0.0,4.649070404338119e-05,0.0,0.0
160.5,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070412497618e-05,0.0,0.0,-4.64907041266134e-05,0.0,0.0,-4.649070421248766e-05,0.0,0.0,4.64907041665757e-05,0.0,0.0,-4.6490704126719594e-05,0.0,0.0,4.649070412487018e-05,0.0,0.0
160.521,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490704192701374e-05,0.0,0.0,-4.649070419453936e-05,0.0,0.0,-4.6490704285407944e-05,0.0,0.0,4.649070423283221e-05,0.0,0.0,-4.649070419465869e-05,0.0,0.0,4.6490704192582213e-05,0.0,0.0
160.54,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070413288472e-05,0.0,0.0,-4.6490704133515076e-05,0.0,0.0,-4.6490704198308895e-05,0.0,0.0,4.649070415027078e-05,0.0,0.0,-4.649070413355618e-05,0.0,0.0,4.6490704132843866e-05,0.0,0.0
160.589,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490704186856853e-05,0.0,0.0,-4.649070418836855e-05,0.0,0.0,-4.64907042734984e-05,0.0,0.0,4.6490704221274235e-05,0.0,0.0,-4.649070418846668e-05,0.0,0.0,4.6490704186758604e-05,0.0,0.0
160.635,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070424540317e-05,0.0,0.0,-4.6490704247093e-05,0.0,0.0,-4.649070433666356e-05,0.0,0.0,4.649070427869831e-05,0.0,0.0,-4.649070424720266e-05,0.0,0.0,4.649070424529358e-05,0.0,0.0
160.64,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070422985281e-05,0.0,-0.02593443470219467,-4.6490704227826116e-05,0.0,0.0746646412943134,-4.649070423808682e-05,0.0,0.003631431025584932,4.64907041760995e-05,0.0,-0.06410528812012554,-4.6490704227694555e-05,0.0,0.01532845786192056,4.649070422998391e-05,0.0,-4.7694397713634055e-17
160.66,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490704272810525e-05,0.0,-0.030400493007964623,-4.6490704274003635e-05,0.0,0.08752232048398756,-4.649070435736483e-05,0.0,0.004256784255020669,4.6490704296515656e-05,0.0,-0.07514458617675852,-4.649070427408073e-05,0.0,0.017968106164883712,4.649070427273278e-05,0.0,-3.0020566647213913e-17
160.68,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070424835548e-05,0.0,-0.030400493007964623,-4.6490704246426106e-05,0.0,0.08752232048398756,-4.6490704260571834e-05,0.0,0.004256784255020669,4.649070419691498e-05,0.0,-0.07514458617675852,-4.6490704246300474e-05,0.0,0.017968106164883712,4.649070424848002e-05,0.0,-3.0020566647213913e-17
