timestamp,target_x,target_y,target_z,actual_j1,target_j1,control_u_j1,actual_j2,target_j2,control_u_j2,actual_j3,target_j3,control_u_j3,actual_j4,target_j4,control_u_j4,actual_j5,target_j5,control_u_j5,actual_j6,target_j6,control_u_j6
265.893,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703844800175e-05,0.0,0.0,-4.6490703844775943e-05,0.0,0.0,-4.649070386505574e-05,0.0,0.0,4.6490703845082725e-05,0.0,0.0,-4.649070384477458e-05,0.0,0.0,4.649070384480206e-05,0.0,0.0
265.9,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703844800175e-05,0.0,0.0,-4.6490703844775943e-05,0.0,0.0,-4.649070386505574e-05,0.0,0.0,4.6490703845082725e-05,0.0,0.0,-4.649070384477458e-05,0.0,0.0,4.649070384480206e-05,0.0,0.0
265.92,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703845801273e-05,0.0,0.0,-4.649070384582793e-05,0.0,0.0,-4.649070386721711e-05,0.0,0.0,4.649070384716326e-05,0.0,0.0,-4.649070384582984e-05,0.0,0.0,4.649070384579985e-05,0.0,0.0
265.94,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703845291746e-05,0.0,0.0,-4.649070384525491e-05,0.0,0.0,-4.649070386520018e-05,0.0,0.0,4.649070384516544e-05,0.0,0.0,-4.649070384525237e-05,0.0,0.0,4.6490703845294626e-05,0.0,0.0
265.96,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703845903595e-05,0.0,-0.00010051837598368965,-4.649070384592457e-05,0.0,0.0002772903584542527,-4.649070386713583e-05,0.0,1.955825674843479e-05,4.649070384706487e-05,0.0,-0.00024524929693600157,-4.649070384592591e-05,0.0,5.947346316680926e-05,4.6490703845903046e-05,0.0,-1.0346664718248326e-17
265.98,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384556023e-05,0.0,-0.00010051837598368965,-4.649070384552923e-05,0.0,0.0002772903584542527,-4.6490703865565656e-05,0.0,1.955825674843479e-05,4.649070384550365e-05,0.0,-0.00024524929693600157,-4.649070384552756e-05,0.0,5.947346316680926e-05,4.6490703845562966e-05,0.0,-1.0346664718248326e-17
266.0,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384465999e-05,0.0,-8.573770666213393e-05,-4.649070384462902e-05,0.0,0.0002365163511028154,-4.649070386465055e-05,0.0,1.668232944272128e-05,4.649070384468302e-05,0.0,-0.00020918674399949562,-4.6490703844627326e-05,0.0,5.0728220477485836e-05,4.649070384466248e-05,0.0,-8.987437146806553e-18
266.02,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384604897e-05,0.0,-8.573770666213393e-05,-4.6490703846034885e-05,0.0,0.0002365163511028154,-4.6490703866415826e-05,0.0,1.668232944272128e-05,4.6490703846309154e-05,0.0,-0.00020918674399949562,-4.6490703846034085e-05,0.0,5.0728220477485836e-05,4.649070384605028e-05,0.0,-8.987437146806553e-18
266.04,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384553974e-05,0.0,-7.315095546349385e-05,-4.649070384551498e-05,0.0,0.00020179449414833847,-4.649070386564405e-05,0.0,1.4233280577045356e-05,4.649070384558493e-05,0.0,-0.00017847701282882762,-4.64907038455134e-05,0.0,4.328104799134133e-05,4.649070384554167e-05,0.0,-7.803719612019897e-18
266.06,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703846734114e-05,0.0,-7.315095546349385e-05,-4.6490703846722486e-05,0.0,0.00020179449414833847,-4.6490703867129095e-05,0.0,1.4233280577045356e-05,4.6490703846949504e-05,0.0,-0.00017847701282882762,-4.649070384672228e-05,0.0,4.328104799134133e-05,4.649070384673596e-05,0.0,-7.803719612019897e-18
