timestamp,target_x,target_y,target_z,actual_j1,target_j1,control_u_j1,actual_j2,target_j2,control_u_j2,actual_j3,target_j3,control_u_j3,actual_j4,target_j4,control_u_j4,actual_j5,target_j5,control_u_j5,actual_j6,target_j6,control_u_j6
75.636,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070399403039e-05,0.0,0.0,-4.649070399368003e-05,0.0,0.0,-4.649070402122761e-05,0.0,0.0,4.6490703985883996e-05,0.0,0.0,-4.6490703993657766e-05,0.0,0.0,4.6490703994053533e-05,0.0,0.0
75.64,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070399403039e-05,0.0,0.0,-4.649070399368003e-05,0.0,0.0,-4.649070402122761e-05,0.0,0.0,4.6490703985883996e-05,0.0,0.0,-4.6490703993657766e-05,0.0,0.0,4.6490703994053533e-05,0.0,0.0
75.66,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070399667069e-05,0.0,0.0,-4.649070399749597e-05,0.0,0.0,-4.6490704051863464e-05,0.0,0.0,4.649070401755384e-05,0.0,0.0,-4.649070399755011e-05,0.0,0.0,4.649070399661705e-05,0.0,0.0
75.68,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703963466584e-05,0.0,0.0,-4.649070396276227e-05,0.0,0.0,-4.6490703981025706e-05,0.0,0.0,4.6490703948475754e-05,0.0,0.0,-4.649070396271729e-05,0.0,0.0,4.649070396351302e-05,0.0,0.0
75.7,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070396584476e-05,0.0,0.0,-4.649070396663412e-05,0.0,0.0,-4.64907040191787e-05,0.0,0.0,4.6490703988023865e-05,0.0,0.0,-4.6490703966685635e-05,0.0,0.0,4.649070396579398e-05,0.0,0.0
75.72,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070394122314e-05,0.0,0.0,-4.649070394060069e-05,0.0,0.0,-4.6490703959824356e-05,0.0,0.0,4.649070392969588e-05,0.0,0.0,-4.649070394056071e-05,0.0,0.0,4.6490703941264394e-05,0.0,0.0
75.74,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070396073146e-05,0.0,0.0,-4.649070396042479e-05,0.0,0.0,-4.6490703986543516e-05,0.0,0.0,4.649070395466573e-05,0.0,0.0,-4.649070396040537e-05,0.0,0.0,4.649070396075209e-05,0.0,0.0
75.76,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070396432686e-05,0.0,0.0,-4.649070396501291e-05,0.0,0.0,-4.6490704013805725e-05,0.0,0.0,4.649070398258661e-05,0.0,0.0,-4.6490703965057875e-05,0.0,0.0,4.649070396428315e-05,0.0,0.0
75.78,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070393780648e-05,0.0,0.0,-4.6490703937210596e-05,0.0,0.0,-4.6490703955708826e-05,0.0,0.0,4.6490703925914686e-05,0.0,0.0,-4.649070393717197e-05,0.0,0.0,4.6490703937845274e-05,0.0,0.0
75.8,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703939705284e-05,0.0,0.0,-4.649070394032696e-05,0.0,0.0,-4.649070398679418e-05,0.0,0.0,4.6490703958060156e-05,0.0,0.0,-4.6490703940367454e-05,0.0,0.0,4.6490703939665324e-05,0.0,0.0
75.82,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070391983868e-05,0.0,0.0,-4.649070391931323e-05,0.0,0.0,-4.6490703938663894e-05,0.0,0.0,4.649070391082292e-05,0.0,0.0,-4.6490703919279315e-05,0.0,0.0,4.6490703919873085e-05,0.0,0.0
75.84,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070392633914e-05,0.0,0.0,-4.649070392695477e-05,0.0,0.0,-4.649070397254962e-05,0.0,0.0,4.6490703945176825e-05,0.0,0.0,-4.649070392699498e-05,0.0,0.0,4.6490703926299666e-05,0.0,0.0
75.86,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070391124763e-05,0.0,0.0,-4.64907039107826e-05,0.0,0.0,-4.6490703930838875e-05,0.0,0.0,4.649070390394566e-05,0.0,0.0,-4.64907039107525e-05,0.0,0.0,4.649070391127833e-05,0.0,0.0
75.88,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070393101254e-05,0.0,0.0,-4.649070393079889e-05,0.0,0.0,-4.649070395637001e-05,0.0,0.0,4.649070392761671e-05,0.0,0.0,-4.649070393078541e-05,0.0,0.0,4.649070393102706e-05,0.0,0.0
75.9,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070390115191e-05,0.0,0.0,-4.649070390064514e-05,0.0,0.0,-4.6490703919054634e-05,0.0,0.0,4.6490703893162226e-05,0.0,0.0,-4.6490703900612694e-05,0.0,0.0,4.649070390118553e-05,0.0,0.0
75.92,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703920051667e-05,0.0,0.0,-4.649070391985944e-05,0.0,0.0,-4.649070394529229e-05,0.0,0.0,4.649070391769303e-05,0.0,0.0,-4.649070391984714e-05,0.0,0.0,4.6490703920064596e-05,0.0,0.0
75.94,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070389445935e-05,0.0,0.0,-4.649070389400376e-05,0.0,0.0,-4.6490703912996966e-05,0.0,0.0,4.649070388784038e-05,0.0,0.0,-4.649070389397423e-05,0.0,0.0,4.649070389448951e-05,0.0,0.0
75.96,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490703915334086e-05,-0.047023742827643246,0.0,-4.649070391517832e-05,0.14004242690476323,0.0,-4.64907039408834e-05,0.004197586796296806,0.0,4.649070391379232e-05,-0.11782067923422834,0.0,-4.649070391516836e-05,0.02777370173905122,0.0,4.649070391534484e-05,9.581845185094092e-18,0.0
