timestamp,target_x,target_y,target_z,actual_j1,target_j1,control_u_j1,actual_j2,target_j2,control_u_j2,actual_j3,target_j3,control_u_j3,actual_j4,target_j4,control_u_j4,actual_j5,target_j5,control_u_j5,actual_j6,target_j6,control_u_j6
33.049,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986184e-05,0.0,0.0,-4.649070384986204e-05,0.0,0.0,-4.6490703870374465e-05,0.0,0.0,4.649070384986174e-05,0.0,0.0,-4.649070384986197e-05,0.0,0.0,4.649070384986222e-05,0.0,0.0
33.06,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703849861536e-05,0.0,1.2906186008237862e-18,-4.649070384986171e-05,0.0,3.006489222452937e-12,-4.6490703870374316e-05,0.0,1.8545555652080125e-11,4.6490703849861726e-05,0.0,1.569448390685902e-11,-4.649070384986194e-05,0.0,1.0661930027360906e-18,4.649070384986211e-05,0.0,-2.6485072799228165e-21
33.08,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986164e-05,0.0,1.2906186008237862e-18,-4.649070384986185e-05,0.0,3.006489222452937e-12,-4.6490703870374004e-05,0.0,1.8545555652080125e-11,4.649070384986117e-05,0.0,1.569448390685902e-11,-4.649070384986147e-05,0.0,1.0661930027360906e-18,4.6490703849861766e-05,0.0,-2.6485072799228165e-21
33.1,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703849861475e-05,0.0,1.2448910695857646e-18,-4.6490703849861495e-05,0.0,3.1976715054827543e-12,-4.6490703870373936e-05,0.0,1.9724865481017512e-11,4.6490703849861604e-05,0.0,1.669249428304548e-11,-4.6490703849861746e-05,0.0,1.2107566602149042e-18,4.649070384986179e-05,0.0,-2.6059648135593607e-21
33.12,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986156e-05,0.0,1.1767754647508062e-18,-4.649070384986173e-05,0.0,3.3809814732508232e-12,-4.649070387037438e-05,0.0,2.0855614756579385e-11,4.649070384986179e-05,0.0,1.764940957531325e-11,-4.649070384986195e-05,0.0,1.3696067840005974e-18,4.6490703849862126e-05,0.0,-2.5561573415559936e-21
33.14,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986158e-05,0.0,1.1767754647508062e-18,-4.649070384986166e-05,0.0,3.3809814732508232e-12,-4.649070387037402e-05,0.0,2.0855614756579385e-11,4.649070384986155e-05,0.0,1.764940957531325e-11,-4.649070384986169e-05,0.0,1.3696067840005974e-18,4.6490703849861814e-05,0.0,-2.5561573415559936e-21
33.16,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986182e-05,0.0,1.1767754647508062e-18,-4.649070384986185e-05,0.0,3.3809814732508232e-12,-4.649070387037433e-05,0.0,2.0855614756579385e-11,4.6490703849862065e-05,0.0,1.764940957531325e-11,-4.649070384986226e-05,0.0,1.3696067840005974e-18,4.64907038498622e-05,0.0,-2.5561573415559936e-21
33.18,"[0.0, 0.0, 0.0]",0.0,0.0,4.64907038498618e-05,0.0,1.1282232024136258e-18,-4.6490703849861875e-05,0.0,3.5451489338236086e-12,-4.6490703870374296e-05,0.0,2.186828331352125e-11,4.6490703849861936e-05,0.0,1.8506397109338553e-11,-4.6490703849862146e-05,0.0,1.5091079538769563e-18,4.649070384986216e-05,0.0,-2.5033653884246466e-21
33.2,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986212e-05,0.0,1.090769438545274e-18,-4.6490703849862126e-05,0.0,3.706277241682028e-12,-4.6490703870374804e-05,0.0,2.286220493247113e-11,4.649070384986256e-05,0.0,1.9347519683691752e-11,-4.649070384986274e-05,0.0,1.652319143061371e-18,4.649070384986265e-05,0.0,-2.4346635635608498e-21
33.22,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986217e-05,0.0,1.090769438545274e-18,-4.649070384986231e-05,0.0,3.706277241682028e-12,-4.649070387037474e-05,0.0,2.286220493247113e-11,4.649070384986208e-05,0.0,1.9347519683691752e-11,-4.6490703849862315e-05,0.0,1.652319143061371e-18,4.649070384986255e-05,0.0,-2.4346635635608498e-21
33.24,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703849861495e-05,0.0,1.0634403497711318e-18,-4.64907038498617e-05,0.0,3.855597489613307e-12,-4.64907038703743e-05,0.0,2.3783288496488572e-11,4.6490703849861583e-05,0.0,2.0127001868459613e-11,-4.649070384986179e-05,0.0,1.7588476292451393e-18,4.649070384986208e-05,0.0,-2.4192633034365634e-21
33.26,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986171e-05,0.0,1.0634403497711318e-18,-4.6490703849861814e-05,0.0,3.855597489613307e-12,-4.6490703870374655e-05,0.0,2.3783288496488572e-11,4.6490703849862126e-05,0.0,2.0127001868459613e-11,-4.6490703849862275e-05,0.0,1.7588476292451393e-18,4.6490703849862444e-05,0.0,-2.4192633034365634e-21
33.281,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986189e-05,0.0,1.0469657660124453e-18,-4.649070384986195e-05,0.0,3.99974580576532e-12,-4.649070387037411e-05,0.0,2.467246881050185e-11,4.6490703849861685e-05,0.0,2.087948535109781e-11,-4.649070384986187e-05,0.0,1.8934760773975945e-18,4.649070384986193e-05,0.0,-2.368511836909965e-21
33.3,"[0.0, 0.0, 0.0]",0.0,0.0,4.6490703849861583e-05,0.0,1.0469657660124453e-18,-4.649070384986181e-05,0.0,3.99974580576532e-12,-4.6490703870374106e-05,0.0,2.467246881050185e-11,4.649070384986131e-05,0.0,2.087948535109781e-11,-4.649070384986156e-05,0.0,1.8934760773975945e-18,4.649070384986185e-05,0.0,-2.368511836909965e-21
33.32,"[0.0, 0.0, 0.0]",0.0,0.0,4.649070384986142e-05,0.0,1.0041918298769127e-18,-4.6490703849861536e-05,0.0,4.1330583846330845e-12,-4.6490703870374024e-05,0.0,2.549480874424419e-11,4.649070384986154e-05,0.0,2.1575404076657856e-11,-4.649070384986172e-05,0.0,1.998452678343785e-18,4.649070384986183e-05,0.0,-2.353794428746561e-21
33.341,"[0.0, 0.0, 0.0]",0.0,0.0,4.64907038498616e-05,0.0,1.0041918298769127e-18,-4.649070384986185e-05,0.0,4.1330583846330845e-12,-4.649070387037424e-05,0.0,2.549480874424419e-11,4.649070384986134e-05,0.0,2.1575404076657856e-11,-4.6490703849861685e-05,0.0,1.998452678343785e-18,4.6490703849861915e-05,0.0,-2.353794428746561e-21
33.36,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490703849861495e-05,-0.04646915890466908,9.72767962181045e-19,-4.649070384986161e-05,0.1407635897117575,4.258377072824468e-12,-4.6490703870373963e-05,0.0029433498572634673,2.6267838368433023e-11,4.649070384986148e-05,-0.11722179892601166,2.2229593051907882e-11,-4.649070384986167e-05,0.02743654458277741,2.077823777299498e-18,4.6490703849861705e-05,6.130086836132246e-18,-2.3526522239614495e-21
33.38,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070384986122e-05,-0.04646915890466908,9.72767962181045e-19,-4.649070384986132e-05,0.1407635897117575,4.258377072824468e-12,-4.649070387037363e-05,0.0029433498572634673,2.6267838368433023e-11,4.64907038498612e-05,-0.11722179892601166,2.2229593051907882e-11,-4.64907038498613e-05,0.02743654458277741,2.077823777299498e-18,4.649070384986146e-05,6.130086836132246e-18,-2.3526522239614495e-21
33.4,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070384986153e-05,-0.04646915890466908,-0.0023234579452334533,-4.6490703849861604e-05,0.1407635897117575,0.007038179489964348,-4.649070387037433e-05,0.0029433498572634673,0.0001471675198594759,4.649070384986191e-05,-0.11722179892601166,-0.005861089923454515,-4.649070384986203e-05,0.02743654458277741,0.0013718272291388727,4.649070384986213e-05,6.130086836132246e-18,3.041826299970712e-19
33.42,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070353712857e-05,-0.04646915890466908,-0.0023234579452334533,-4.649070353529331e-05,0.1407635897117575,0.007038179489964348,-4.6490703512728355e-05,0.0029433498572634673,0.0001471675198594759,4.6490703523740556e-05,-0.11722179892601166,-0.005861089923454515,-4.649070353517433e-05,0.02743654458277741,0.0013718272291388727,4.64907035372482e-05,6.130086836132246e-18,3.041826299970712e-19
33.44,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490703611963354e-05,-0.04646915890466908,-0.0045934682526800105,-4.649070361256973e-05,0.1407635897117575,0.013914456295753344,-4.649070364839793e-05,0.0029433498572634673,0.00029094964785484094,4.649070365339972e-05,-0.11722179892601166,-0.011587354354699864,-4.649070361260939e-05,0.02743654458277741,0.002712097646562075,4.649070361192434e-05,6.130086836132246e-18,5.055788588911193e-18
33.46,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490703405945344e-05,-0.04646915890466908,-0.0045934682526800105,-4.649070340489783e-05,0.1407635897117575,0.013914456295753344,-4.649070340249907e-05,0.0029433498572634673,0.00029094964785484094,4.649070342769332e-05,-0.11722179892601166,-0.011587354354699864,-4.649070340483017e-05,0.02743654458277741,0.002712097646562075,4.649070340601357e-05,6.130086836132246e-18,5.055788588911193e-18
33.48,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070355570992e-05,-0.04646915890466908,-0.006782248153403456,-4.6490703556937085e-05,0.1407635897117575,0.020544671328236997,-4.649070360925462e-05,0.0029433498572634673,0.0004295866534704143,4.6490703620599966e-05,-0.11722179892601166,-0.01710870923678789,-4.6490703557017106e-05,0.02743654458277741,0.004004407616069061,4.64907035556303e-05,6.130086836132246e-18,6.701525268942391e-18
33.5,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070341230819e-05,-0.04646915890466908,-0.00891238664212504,-4.6490703411825684e-05,0.1407635897117575,0.026997250787908,-4.649070342492596e-05,0.0029433498572634673,0.0005645093204615889,4.649070344970631e-05,-0.11722179892601166,-0.022482136935153073,-4.649070341179465e-05,0.02743654458277741,0.005262094240696794,4.649070341233932e-05,6.130086836132246e-18,6.342579102595645e-18
33.52,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070336832735e-05,-0.04646915890466908,-0.00891238664212504,-4.649070336317259e-05,0.1407635897117575,0.026997250787908,-4.6490703267192484e-05,0.0029433498572634673,0.0005645093204615889,4.6490703292161084e-05,-0.11722179892601166,-0.022482136935153073,-4.6490703362839174e-05,0.02743654458277741,0.005262094240696794,4.6490703368662254e-05,6.130086836132246e-18,6.342579102595645e-18
33.54,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490703501951366e-05,-0.04646915890466908,-0.010923536497878798,-4.6490703503522374e-05,0.1407635897117575,0.03308939189438167,-4.649070356785936e-05,0.0029433498572634673,0.0006918952643384013,4.649070358498726e-05,-0.11722179892601166,-0.02755540724030648,-4.6490703503624696e-05,0.02743654458277741,0.006449527023648737,4.6490703501849125e-05,6.130086836132246e-18,1.110943121715868e-18
33.56,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070350542741e-05,-0.04646915890466908,-0.010923536497878798,-4.6490703501010746e-05,0.1407635897117575,0.03308939189438167,-4.6490703425386147e-05,0.0029433498572634673,0.0006918952643384013,4.649070343623566e-05,-0.11722179892601166,-0.02755540724030648,-4.649070350072491e-05,0.02743654458277741,0.006449527023648737,4.649070350571447e-05,6.130086836132246e-18,1.110943121715868e-18
33.58,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.6490703635297486e-05,-0.04646915890466908,-0.012834370368332876,-4.6490703637000395e-05,0.1407635897117575,0.038877657515932494,-4.649070370714489e-05,0.0029433498572634673,0.0008129272079930022,4.649070371057565e-05,-0.11722179892601166,-0.032375623250280455,-4.6490703637111695e-05,0.02743654458277741,0.007577730759473609,4.649070363518781e-05,6.130086836132246e-18,-5.861785122610055e-18
33.6,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070363391305e-05,-0.04646915890466908,-0.012834370368332876,-4.649070362986511e-05,0.1407635897117575,0.038877657515932494,-4.649070356586141e-05,0.0029433498572634673,0.0008129272079930022,4.649070356332716e-05,-0.11722179892601166,-0.032375623250280455,-4.649070362960273e-05,0.02743654458277741,0.007577730759473609,4.649070363417553e-05,6.130086836132246e-18,-5.861785122610055e-18
33.62,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070375127346e-05,-0.04646915890466908,-0.014648306190695591,-4.649070375300889e-05,0.1407635897117575,0.04437240121009983,-4.6490703826603516e-05,0.0029433498572634673,0.0009278216430939541,4.649070381814953e-05,-0.11722179892601166,-0.03695140695774455,-4.649070375312192e-05,0.02743654458277741,0.008648723483115295,4.6490703751161354e-05,6.130086836132246e-18,-1.3255948929035877e-17
33.64,"[0.06062, 0.0456, 0.41014]",0.0456,0.41014,4.649070374342993e-05,-0.04646915890466908,-0.014648306190695591,-4.6490703739684085e-05,0.1407635897117575,0.04437240121009983,-4.649070368566458e-05,0.0029433498572634673,0.0009278216430939541,4.649070367178749e-05,-0.11722179892601166,-0.03695140695774455,-4.6490703739441474e-05,0.02743654458277741,0.008648723483115295,4.6490703743673386e-05,6.130086836132246e-18,-1.3255948929035877e-17
